names	uris
Ernst, Henri	http://id.loc.gov/authorities/names/no00089344
Errico, Carmelo, 1848-1892	http://id.loc.gov/authorities/names/n98043357
Erskine, Margaret, 1753-1842	
Erwin, Lee	http://id.loc.gov/authorities/names/nr90013451
Esrom, D. A., 1890-1953	http://id.loc.gov/authorities/names/no93013389
Estabrooke, H. M.	
Etherington	
Evans, Nelson, 1889-1923	
Evans, Ray, 1915-2007	http://id.loc.gov/authorities/names/no92009094
Evans, Tolchard	http://id.loc.gov/authorities/names/no89009694
Everly, Don, 1937-	http://id.loc.gov/authorities/names/n85133118
Everly, Phil, 1939-2014	http://id.loc.gov/authorities/names/n85133119
Ewing, Montague George, 1890-1957	http://id.loc.gov/authorities/names/no2007157141
Eyton, Frank	http://id.loc.gov/authorities/names/n2008014737
F. S. C.	
F. S. M.	
Faber, Billy, 1902-	http://id.loc.gov/authorities/names/no2003031444
Fahrbach, Philipp, 1843-1894	http://id.loc.gov/authorities/names/n99040986
Fain, Sammy, 1902-1989	http://id.loc.gov/authorities/names/n93022038
Fairman, George, 1881-1962	http://id.loc.gov/authorities/names/n99021037
Faith, Percy, 1908-1976	http://id.loc.gov/authorities/names/no2011026723
Falconieri, Andrea, 1586?-1656	http://id.loc.gov/authorities/names/n86858318
Falla, Manuel de, 1876-1946	http://id.loc.gov/authorities/names/n79079443
Farley, Edward J., 1904-1983	http://id.loc.gov/authorities/names/no2008151754
Farmer, Henry George, 1882-1965	http://id.loc.gov/authorities/names/n50009200
Farrel, J. O.	
Farrell, Joseph C.	http://id.loc.gov/authorities/names/n2010077079
Farrère, Claude, 1876-1957	http://id.loc.gov/authorities/names/n81053745
Farrow, Johnny, 1912-2004	http://id.loc.gov/authorities/names/no2010153185
Farrow, Peter	http://id.loc.gov/authorities/names/n82217802
Fassbinder, Wm. B. (William B.)	http://id.loc.gov/authorities/names/no2010022998
Fauré, Gabriel, 1845-1924	http://id.loc.gov/authorities/names/n81018450
Faure, J. (Jean), 1830-1914	http://id.loc.gov/authorities/names/n89644696
Fay, John Everett	http://id.loc.gov/authorities/names/n2010077155
Fay, Martin	
Fay, Ray W.	
Faye, Alice, 1915-1998	http://id.loc.gov/authorities/names/n50003081
Fearis, J. S. (John Sylvester), 1867-1932	http://id.loc.gov/authorities/names/n85387848
Federlein, Gottfried H. (Gottfried Harrison), 1883-1952	http://id.loc.gov/authorities/names/no96021777
Feighner, Alyce Honore	
Feighner, Fred Bowman	
Feinstein, Marlene	http://id.loc.gov/authorities/names/no2009083759
Fenner, Beatrice, 1904-1985	http://id.loc.gov/authorities/names/no99040326
Fenstad, E. A.	http://id.loc.gov/authorities/names/n2004079666
Ferebee, Lee	
Fernandez, C.	
Ferraioli, Clement A.	
Ferrão, Raul	http://id.loc.gov/authorities/names/nb2001020078
Ferrari, Louis, 1910-1988	http://id.loc.gov/authorities/names/nr2002045463
Fetter, Ted	http://id.loc.gov/authorities/names/n2002070293
Ffrench, Alexis	http://id.loc.gov/authorities/names/no2011122350
Field, Carl	http://id.loc.gov/authorities/names/no2007061346
Field, Eugene, 1850-1895	http://id.loc.gov/authorities/names/n79059045
Fields, Arthur	http://id.loc.gov/authorities/names/n92097993
Fields, Buddy, 1889-1965	http://id.loc.gov/authorities/names/no2004065261
Fields, Carl	
Fields, Dorothy, 1905-1974	http://id.loc.gov/authorities/names/n81023046
Fields, Irving, 1915-	http://id.loc.gov/authorities/names/n96008009
Fillmore, J. H. (James Henry), 1849-1936	http://id.loc.gov/authorities/names/no96055920
Finch, Dick, 1898-1955	http://id.loc.gov/authorities/names/no2008148578
Fink, Michael, 1939-	http://id.loc.gov/authorities/names/n82217216
Fink, Wilhelm	http://id.loc.gov/authorities/names/no2009202643
Finley, Lorraine Noel	http://id.loc.gov/authorities/names/no97068583
Finston, Nathaniel	http://id.loc.gov/authorities/names/n86075602
Fiorito, Ted, 1900-1971	http://id.loc.gov/authorities/names/n90671576
Firestone, Idabelle	http://id.loc.gov/authorities/names/n84040753
Fischer, Adolphe	
Fischer, C. L. (Carl Ludwig), 1816-1877	http://id.loc.gov/authorities/names/nr94039691
Fischer, Carl, 1912-1954	http://id.loc.gov/authorities/names/n84145391
Fischer, Edna	http://id.loc.gov/authorities/names/no2004084035
Fischer, William Arms	
Fisher, Bruce	http://id.loc.gov/authorities/names/nr95017744
Fisher, Doris, 1915-2003	http://id.loc.gov/authorities/names/no92022727
Fisher, E. S.	http://id.loc.gov/authorities/names/no2002115930
Fisher, Fred, 1875-1942	http://id.loc.gov/authorities/names/n92083345
Fisher, Leander	http://id.loc.gov/authorities/names/nr91043625
Fisher, Mark, 1895-1948	http://id.loc.gov/authorities/names/n98004467
Fisher, Marvin, 1916-1993	http://id.loc.gov/authorities/names/n96105475
Fisher, William Arms, 1861-1948	http://id.loc.gov/authorities/names/no90009759
Fishman, Jack	http://id.loc.gov/authorities/names/n82151556
Fitch, Art	http://id.loc.gov/authorities/names/no2004089009
Fitch, Kay	http://id.loc.gov/authorities/names/no2004089008
Fitzball, Edward, 1792-1873	http://id.loc.gov/authorities/names/n83002075
Fitzenhagen, Wilhelm, 1848-1890	http://id.loc.gov/authorities/names/no93013766
Fitzgerald, Lillian	
Fitzpatrick, John J.	http://id.loc.gov/authorities/names/n88263666
Flack, Chas.	
Flaherty, Pat	http://id.loc.gov/authorities/names/no2007122090
Flanagan, T. Jay (Thomas Jay)	http://id.loc.gov/authorities/names/no2013105173
Flaster, Karl, 1905-1965	http://id.loc.gov/authorities/names/no93014208
Flath, P. Hans	http://id.loc.gov/authorities/names/no2011115241
Fleeson, Neville	http://id.loc.gov/authorities/names/n89621840
Fletcher, John, 1579-1625	http://id.loc.gov/authorities/names/n80016996
Fletcher, Percy E. (Percy Eastman), 1879-1932	http://id.loc.gov/authorities/names/n84055847
Floridia, Pietro, 1860-1932	http://id.loc.gov/authorities/names/no89000735
Floris, Agnetta	
Flotow, Friedrich von, 1812-1883	http://id.loc.gov/authorities/names/n83129447
Floyd	
Flynn, John H., 1869-1926	http://id.loc.gov/authorities/names/no2002022906
Fogarty, J. Paul, 1893-1976	http://id.loc.gov/authorities/names/no2002023217
Foley, Alice	
Ford and Glenn	http://id.loc.gov/authorities/names/no2014049868
Ford, Eugene	http://id.loc.gov/authorities/names/no2010198290
Ford, Lena Guilbert	http://id.loc.gov/authorities/names/no2002021879
Forestier, Joseph	http://id.loc.gov/authorities/names/nr93001447
Forrest, Gene	http://id.loc.gov/authorities/names/no2003030675
Forrest, George, 1915-1999	http://id.loc.gov/authorities/names/n82083546
Forrest, Jimmy, 1920-1980	http://id.loc.gov/authorities/names/no91009721
Forster, B. Y.	
Forster, Dorothy, 1884-1950	http://id.loc.gov/authorities/names/nr97011672
Forsyth, Josephine, 1889-1940	http://id.loc.gov/authorities/names/nr97000274
Forum for the Restoration of Democracy	http://id.loc.gov/authorities/names/n89132925
Foster, David, 1949-	http://id.loc.gov/authorities/names/no00047185
Foster, Stephen Collins, 1826-1864	http://id.loc.gov/authorities/names/n50023175
Fotine, Larry	http://id.loc.gov/authorities/names/n84123294
Fourdrain, Félix	http://id.loc.gov/authorities/names/no88005648
Fox, Charles, 1940-	http://id.loc.gov/authorities/names/n80159159
Fox, Oscar J., 1879-1961	http://id.loc.gov/authorities/names/no92014950
Foxe, Earle, 1891-1973	http://id.loc.gov/authorities/names/n88132364
Fraemcke, August, 1870-1933	http://id.loc.gov/authorities/names/n88037544
Fragos, George	http://id.loc.gov/authorities/names/no92022368
Fraieli, Loreto, 1910-	http://id.loc.gov/authorities/names/no2004083042
Frances, Irene	http://id.loc.gov/authorities/names/no2012144220
Franchini, Anthony J., 1898-1997	http://id.loc.gov/authorities/names/no2001066830
Franchomme, Auguste, 1808-1884	http://id.loc.gov/authorities/names/n81133536
Francis, of Assisi, Saint, 1182-1226	http://id.loc.gov/authorities/names/n78095603
Franck, César, 1822-1890	http://id.loc.gov/authorities/names/n79130762
Franck, Hawley	http://id.loc.gov/authorities/names/no2013021545
Francois, C.	
Frandsen, Annie E.	
Frank & Manoloff	
Frank, Louis	http://id.loc.gov/authorities/names/no99059129
Frank, Sid	http://id.loc.gov/authorities/names/n80002365
Franke, Max	
Frankenstein, A. F. (Abraham Frankum)	http://id.loc.gov/authorities/names/n2014049698
Franklin, Dave, 1895-1970	http://id.loc.gov/authorities/names/no97041647
Franko, Sam, 1857-1937	http://id.loc.gov/authorities/names/n91105940
Franz, Robert, 1815-1892	http://id.loc.gov/authorities/names/n85006189
Frazee, Gerald F. (Gerald Foster), 1896-1980	http://id.loc.gov/authorities/names/no2015112200
Frazier, Dallas, 1939-	http://id.loc.gov/authorities/names/n91106653
Frederic Knight Logan	
Frederick II, King of Prussia, 1712-1786	http://id.loc.gov/authorities/names/n80056902
Fredianelli, Ronald.	
Fredricks	
Freed, Allan	http://id.loc.gov/authorities/names/no2014098358
Freed, Arnold	http://id.loc.gov/authorities/names/n87100557
Freed, Arthur, 1894-1973	http://id.loc.gov/authorities/names/n84163297
Freed, Isadore, 1900-1960	http://id.loc.gov/authorities/names/no92005939
Freed, Ralph, 1907-1973	http://id.loc.gov/authorities/names/n87916824
Freedman, Max C., 1893-1962	http://id.loc.gov/authorities/names/nb90282601
Freedman, Ray	http://id.loc.gov/authorities/names/no2012045749
Freeman, Harold B.	http://id.loc.gov/authorities/names/no2006064321
Freeman, L. E.	http://id.loc.gov/authorities/names/no2007107079
Freeman	
French, Arthur W.	http://id.loc.gov/authorities/names/n00114269
Frew, 1875-1955	http://id.loc.gov/authorities/names/n2012044059
Frey, Hugo, 1873-1952	http://id.loc.gov/authorities/names/no90000902
Friedheim, Arthur, 1859-1932	http://id.loc.gov/authorities/names/n85120543
Friedland, Anatol, 1881-1938	http://id.loc.gov/authorities/names/no2006101991
Friedman, Leo, 1869-1927	http://id.loc.gov/authorities/names/no2001101794
Friedrich, W., approximately 1820-1879	http://id.loc.gov/authorities/names/n82243953
Frields, Olive L.	
Friend, Cliff, 1893-1974	http://id.loc.gov/authorities/names/n88051343
Friml, Rudolf, 1879-1972	http://id.loc.gov/authorities/names/n80122773
Frisch, Al (Albert T.), 1916-1976	http://id.loc.gov/authorities/names/no2007092844
Frizzell, Lefty, 1928-1975	http://id.loc.gov/authorities/names/n82091540
Fromm, Herbert	http://id.loc.gov/authorities/names/n80113096
Fromme, Lloyd W.	
Frost, Jack, 1893-1959	http://id.loc.gov/authorities/names/no2003016935
Frost, Robert, 1874-1963	http://id.loc.gov/authorities/names/n79005644
Fryberg, Mart, 1890-1952	http://id.loc.gov/authorities/names/n97864243
Frysinger, J. Frank, 1878-1954	http://id.loc.gov/authorities/names/no96034984
Fuchs, Oscar.	
Fugain, Michel	http://id.loc.gov/authorities/names/no00057760
Fuhlisch, Günter, 1921-2013	http://id.loc.gov/authorities/names/n2009031394
Fuhrmann, Karl	http://id.loc.gov/authorities/names/no2008068099
Fulton, Jack, 1903-1993	http://id.loc.gov/authorities/names/no93033215
Fung, Paul, 1897-1944	http://id.loc.gov/authorities/names/n94122569
Fuqua, Harvey	http://id.loc.gov/authorities/names/n96004618
Furber, Douglas, 1885-1961	http://id.loc.gov/authorities/names/n88600090
Fürstenau, Anton Bernhard, 1792-1852	http://id.loc.gov/authorities/names/n80122962
Furth, Seymour, 1876-1932	http://id.loc.gov/authorities/names/n97875868
Future & Emerging Technologies (Program)	http://id.loc.gov/authorities/names/no2006032754
G. Paoli	
Gabler, Milt, 1911-2001	http://id.loc.gov/authorities/names/no00069166
Gabriel, Chas. H. (Charles Hutchinson), 1856-1932	http://id.loc.gov/authorities/names/n82102569
Gabriel, Edward	http://id.loc.gov/authorities/names/n2005016362
Gabriel, Virginia, 1825-1877	http://id.loc.gov/authorities/names/n82228419
Gade, Jacob, 1879-1963	http://id.loc.gov/authorities/names/no93014441
Gade, Niels W. (Niels Wilhelm), 1817-1890	http://id.loc.gov/authorities/names/n81004075
Gahm, Joseph	http://id.loc.gov/authorities/names/no92003969
Gaillard, Slim	http://id.loc.gov/authorities/names/n93115984
Gaines, Samuel Richards, 1869-1945	http://id.loc.gov/authorities/names/no93014519
Galbraith, Ave	http://id.loc.gov/authorities/names/no2008064967
Galbraith, J. Lamont, 1870-1930	http://id.loc.gov/authorities/names/no2007057752
Gale, Stephen	http://id.loc.gov/authorities/names/n83045471
Galhardo, José	http://id.loc.gov/authorities/names/no2011123637
Galla-Rini, Anthony, 1904-2006	http://id.loc.gov/authorities/names/n91023301
Gallet, Louis, 1835-1898	http://id.loc.gov/authorities/names/n81008089
Gallico, Paolo, 1868-1955	http://id.loc.gov/authorities/names/n86143588
Gallop, Sammy, 1915-1971	http://id.loc.gov/authorities/names/no97007987
Gamse, Albert	http://id.loc.gov/authorities/names/nr98041247
Ganeff, V. G.	
Gannon, Kim, 1900-1974	http://id.loc.gov/authorities/names/no89000447
Ganz, Moritz, 1806-1868	http://id.loc.gov/authorities/names/no2011191585
Ganz, Willie	http://id.loc.gov/authorities/names/no2008187639
Garat, Pierre, 1762-1823	http://id.loc.gov/authorities/names/nr93031371
García Lorca, Federico, 1898-1936	http://id.loc.gov/authorities/names/n79034425
Gardenier, Ed	http://id.loc.gov/authorities/names/n00114470
Gardiner, Maud Luise	http://id.loc.gov/authorities/names/no93014452
Gardner, Margaret	
Gardner, Samuel, 1891-1984	http://id.loc.gov/authorities/names/no95048116
Gardner, William Henry, 1865-1932	http://id.loc.gov/authorities/names/no97058440
Garner, Erroll	http://id.loc.gov/authorities/names/n81072984
Garnett, Richard, 1835-1906	http://id.loc.gov/authorities/names/n79059978
Garney, Sir H. E.	
Garren, Joseph J.	http://id.loc.gov/authorities/names/n2008016333
Garrett, M. B.	
Garrison, Ben, active 1919	http://id.loc.gov/authorities/names/n2013043768
Garson, Mort	http://id.loc.gov/authorities/names/n91084979
Gartlan, George H. (George Hugh), 1882-1963	http://id.loc.gov/authorities/names/no93015174
Gartner, Clarence G.	http://id.loc.gov/authorities/names/n97066392
Gärtner, Eduard, 1862-1918	http://id.loc.gov/authorities/names/no96022922
Garton, Ted	http://id.loc.gov/authorities/names/no97051225
Gasparre, Dick	http://id.loc.gov/authorities/names/no93015137
Gates, David, 1940-	http://id.loc.gov/authorities/names/n95119477
Gatty, S. H.	
Gaul, Harvey B. (Harvey Bartlett), 1881-1945	http://id.loc.gov/authorities/names/no89017217
Gautier, Théophile, 1811-1872	http://id.loc.gov/authorities/names/n79079291
Gay, Byron	http://id.loc.gov/authorities/names/n78029020
Gaynor, Jessie L., 1863-1921	http://id.loc.gov/authorities/names/no90009768
Gaze, Heino	http://id.loc.gov/authorities/names/n2008016349
Gearhart, Livingston	http://id.loc.gov/authorities/names/n91099116
Geary, T. Mayo	http://id.loc.gov/authorities/names/n00114588
Geehl, Henry Ernest, 1881-1961	http://id.loc.gov/authorities/names/n91060166
Geibel, Adam, 1855-1933	http://id.loc.gov/authorities/names/no91016438
Geibel, Emanuel, 1815-1884	http://id.loc.gov/authorities/names/n84183272
Gellert, Charles Lawrence	http://id.loc.gov/authorities/names/n86873563
Genée, Richard, 1823-1895	http://id.loc.gov/authorities/names/n80125355
George, Don, 1909-1987	http://id.loc.gov/authorities/names/nb90073419
George, Donald W.	http://id.loc.gov/authorities/names/nr99005148
George, W. Eugene, 1922-2013	http://id.loc.gov/authorities/names/n83162950
Gerard, Richard H., 1876-1948	http://id.loc.gov/authorities/names/no2001067733
Gerlach, Horace	http://id.loc.gov/authorities/names/n89607647
German, Edward, 1862-1936	http://id.loc.gov/authorities/names/n80166825
Gershwin, George, 1898-1937	http://id.loc.gov/authorities/names/n79077265
Gershwin, Ira, 1896-1983	http://id.loc.gov/authorities/names/n50076010
Getzov, Ray, 1925-	http://id.loc.gov/authorities/names/no2010172227
Geyler	
Giannini, Vittorio, 1903-1966	http://id.loc.gov/authorities/names/no88004103
Giardini, Felice, 1716-1796	http://id.loc.gov/authorities/names/n87801638
Gibbons, Carroll	http://id.loc.gov/authorities/names/no98009776
Gibbs, A. Harrington (Arthur Harrington), 1895-1956	http://id.loc.gov/authorities/names/nr2003036491
Gibbs, C. Armstrong	http://id.loc.gov/authorities/names/n83167332
Giblin, Irene M., 1888-1974	http://id.loc.gov/authorities/names/n93103302
Gideon, Melville	http://id.loc.gov/authorities/names/n80072527
Gifford, Gene, 1908-1970	http://id.loc.gov/authorities/names/no96032323
Gilbert, Hazel	
Gilbert, James L.	http://id.loc.gov/authorities/names/n86062277
Gilbert, Jean, 1879-1942	http://id.loc.gov/authorities/names/no90011542
Gilbert, L. Wolfe (Louis Wolfe), 1886-1970	http://id.loc.gov/authorities/names/no89003985
Gilbert, Ray	http://id.loc.gov/authorities/names/n85381424
Gilkyson, Terry	http://id.loc.gov/authorities/names/n94074951
Gille, Philippe, 1831-1901	http://id.loc.gov/authorities/names/n82162688
Gillespie, Arthur	http://id.loc.gov/authorities/names/no2004049779
Gillespie, George	http://id.loc.gov/authorities/names/n98880222
Gillespie, Haven, 1888-1975	http://id.loc.gov/authorities/names/n92014471
Gillespie, Marian, 1889-1946	http://id.loc.gov/authorities/names/no2007119269
Gillet, Ernest, 1856-1940	http://id.loc.gov/authorities/names/n92010639
Gillette, Gladys	http://id.loc.gov/authorities/names/no2008118031
Gillock, William	http://id.loc.gov/authorities/names/n96017618
Gilman, P. S.	http://id.loc.gov/authorities/names/n2009033554
Gimbel, Norman	http://id.loc.gov/authorities/names/n92093560
Giordani, Giuseppe, 1751-1798	http://id.loc.gov/authorities/names/n83129318
Giordano, Umberto, 1867-1948	http://id.loc.gov/authorities/names/n79107709
Giraud, Hubert	http://id.loc.gov/authorities/names/no2006108314
Girling, Mabel Elizabeth	http://id.loc.gov/authorities/names/no2009181992
Gladden, Washington, 1836-1918	http://id.loc.gov/authorities/names/n50033152
Glatt, Abe	http://id.loc.gov/authorities/names/no2012100839
Glazier, Lenore	
Glazunov, Aleksandr Konstantinovich, 1865-1936	http://id.loc.gov/authorities/names/n80079449
Gleason, Dick	http://id.loc.gov/authorities/names/no2008040800
Glen, Catherine Young	http://id.loc.gov/authorities/names/no2009042742
Glenn, Artie	http://id.loc.gov/authorities/names/n94012174
Glick, Jesse G. M., 1874-1938	http://id.loc.gov/authorities/names/no2008131063
Glickman, Mort H., 1898-1952	http://id.loc.gov/authorities/names/no95044960
Glinka, M. I. (Mikhail Ivanovich), 1804-1857	http://id.loc.gov/authorities/names/n80070814
Glogau, Jack, 1886-1953	http://id.loc.gov/authorities/names/no2003017104
Glover, Charles William, 1806-1863	http://id.loc.gov/authorities/names/nr89004390
Glover, David Carr	http://id.loc.gov/authorities/names/n80070805
Gluck, Christoph Willibald, Ritter von, 1714-1787	http://id.loc.gov/authorities/names/n79135399
Glyde, Harry G.	
Godard, Benjamin, 1849-1895	http://id.loc.gov/authorities/names/n81018135
Godfrey, Dan. (Daniel), 1831-1903	http://id.loc.gov/authorities/names/nr95046459
Godowsky, Leopold, 1870-1938	http://id.loc.gov/authorities/names/n80004357
Goell, Kermit, 1915-1997	http://id.loc.gov/authorities/names/no96012012
Goens, Daniel van, 1858-1904	http://id.loc.gov/authorities/names/n81058229
Goerdeler, Richard	http://id.loc.gov/authorities/names/no2001009171
Goetschius, Marjorie, 1915-	http://id.loc.gov/authorities/names/no2007092837
Goetz, Coleman	http://id.loc.gov/authorities/names/no93008274
Goetz, E. Ray (Edward Ray), 1886-1954	http://id.loc.gov/authorities/names/n92057698
Gold, Ernest, 1921-1999	http://id.loc.gov/authorities/names/n84005859
Gold, Jack, 1921-1992	http://id.loc.gov/authorities/names/no2001059570
Gold, Joe, 1894-1978	http://id.loc.gov/authorities/names/no2001059576
Gold, Lou	http://id.loc.gov/authorities/names/no97048098
Gold, Marty	http://id.loc.gov/authorities/names/n93001423
Golden, John, 1874-1955	http://id.loc.gov/authorities/names/n86053358
Golder, Barry	
Goldman, Edwin Franko, 1878-1956	http://id.loc.gov/authorities/names/n82136766
Goldner, George	
Goldsmith, Jerry	http://id.loc.gov/authorities/names/n79095290
Goldsmith, Willard	http://id.loc.gov/authorities/names/no2011033551
Goldstein, Nat (Nathan)	http://id.loc.gov/authorities/names/no2009006772
Goltermann, Georg, 1824-1898	http://id.loc.gov/authorities/names/n84152887
Gondinet, Edmond, 1828-1888	http://id.loc.gov/authorities/names/n82162689
Gooch, William	http://id.loc.gov/authorities/names/n2009035219
Goodard, Dave.	
Goodhart, 1905-1955	http://id.loc.gov/authorities/names/no00090081
Goodman, Al, 1890-1972	http://id.loc.gov/authorities/names/no91020366
Goodman, Paul, 1911-1972	http://id.loc.gov/authorities/names/n79045067
Goodwin, Joe, 1889-1943	http://id.loc.gov/authorities/names/no94005842
Gordon, Ben	http://id.loc.gov/authorities/names/n2011026278
Gordon, Gray	http://id.loc.gov/authorities/names/n85038176
Gordon, Irving, 1915-1996	http://id.loc.gov/authorities/names/no2005101439
Gordon, John Henry	http://id.loc.gov/authorities/names/nr2004020209
Gordon, Mack, 1904-1959	http://id.loc.gov/authorities/names/n85248159
Gordon, Westell	http://id.loc.gov/authorities/names/no00056436
Gore, Gertrude	
Gorman, Bill	http://id.loc.gov/authorities/names/no2012047100
Gorman, Edward	http://id.loc.gov/authorities/names/n84162200
Gorney, Jay, 1896-1990	http://id.loc.gov/authorities/names/no89006629
Gostling, Frances M. (Frances Marion), -1935	http://id.loc.gov/authorities/names/no94000936
Gottler, Archie, 1896-1959	http://id.loc.gov/authorities/names/no2003016937
Gottlieb, Sam (Composer)	http://id.loc.gov/authorities/names/no2010108202
Gottschalk, Louis Moreau, 1829-1869	http://id.loc.gov/authorities/names/n82077132
Gould, Maurice	
Gould, Maurice	http://id.loc.gov/authorities/names/n97874723
Gould, Morton, 1913-1996	http://id.loc.gov/authorities/names/n79145900
Goulding, Edmund, 1891-1959	http://id.loc.gov/authorities/names/n85185281
Gounod, Charles, 1818-1893	http://id.loc.gov/authorities/names/n79107989
Gourley, Ella M.	
Gow, David, 1924-1993	http://id.loc.gov/authorities/names/n81062096
Gowers, Ernest, 1880-1966	http://id.loc.gov/authorities/names/n85802641
Graben-Hoffmann, Gustav, 1820-1900	http://id.loc.gov/authorities/names/no93019548
Grace, Harvey, 1874-1944	http://id.loc.gov/authorities/names/n83134768
Graff, George, 1886-1973	http://id.loc.gov/authorities/names/n00115492
Graham, Charles (Composer)	http://id.loc.gov/authorities/names/n00114281
Graham, David	http://id.loc.gov/authorities/names/no2012074784
Graham, Irvin, 1909-2001	http://id.loc.gov/authorities/names/no95058041
Graham, John	http://id.loc.gov/authorities/names/n80009522
Granados, Enrique, 1867-1916	http://id.loc.gov/authorities/names/n80017865
Granados, Victor, 1902-	http://id.loc.gov/authorities/names/n2001063520
Grandei, Jacques	
Granfield, Arthur Traves	
Granier, Jules	http://id.loc.gov/authorities/names/n97068209
Grant, Bert, 1878-1951	http://id.loc.gov/authorities/names/no97051136
Grant, Charles N., 1887-1937	http://id.loc.gov/authorities/names/no2003016940
Grant, Edward J.	http://id.loc.gov/authorities/names/n2013047676
Grau, Durand de	http://id.loc.gov/authorities/names/no2007012429
Graupner, Christoph, 1683-1760	http://id.loc.gov/authorities/names/n81108881
Gravelle, Jeanné	http://id.loc.gov/authorities/names/no2004059844
Graves, Harry	
Gray-Lhevinne, Estelle	http://id.loc.gov/authorities/names/no2009121072
Gray, Chauncey	http://id.loc.gov/authorities/names/n2001078537
Gray, Eddie	http://id.loc.gov/authorities/names/no2005094533
Gray, Hamilton	http://id.loc.gov/authorities/names/no2011105500
Gray, Norma	
Gray, Roger	http://id.loc.gov/authorities/names/n78014059
Gray, Thomas J., 1888-1924	http://id.loc.gov/authorities/names/no2007062882
Grean, Charles R.	http://id.loc.gov/authorities/names/n93084245
Green, Bud, 1897-1981	http://id.loc.gov/authorities/names/no93013889
Green, Johnny, 1908-1989	http://id.loc.gov/authorities/names/n81072979
Greenaway, Roger	http://id.loc.gov/authorities/names/n2009045212
Greenbank, Percy, 1878-1968	http://id.loc.gov/authorities/names/n89665838
Greene, Edwin, 1856-1915	http://id.loc.gov/authorities/names/no2007151447
Greene, Gene, 1877-1930	http://id.loc.gov/authorities/names/n2005064559
Greene, Joe, 1915-1986	http://id.loc.gov/authorities/names/no96045789
Greene, May	http://id.loc.gov/authorities/names/nb2011032860
Greene, Mort, 1912-1992	http://id.loc.gov/authorities/names/no2004119428
Greenfield, Howard	http://id.loc.gov/authorities/names/n50030492
Greenwald, M. (Martin) (Musician)	http://id.loc.gov/authorities/names/no99016849
Greer, Jesse, 1896-1970	http://id.loc.gov/authorities/names/no96063299
Gregory, Paul	http://id.loc.gov/authorities/names/n86869963
Grennard, Elliott, 1907-1968	http://id.loc.gov/authorities/names/no2009111116
Grétry, André-Ernest-Modeste, 1741-1813	http://id.loc.gov/authorities/names/n80028506
Grever, María, 1885-1951	http://id.loc.gov/authorities/names/no93020158
Grey, Clifford, 1887-1941	http://id.loc.gov/authorities/names/no89019130
Grey, Fenton	
Grey, Frank H., 1883-1951	http://id.loc.gov/authorities/names/nr97012940
Grey, Joe, 1879-1956	http://id.loc.gov/authorities/names/nr2003036473
Grieg, Edvard, 1843-1907	http://id.loc.gov/authorities/names/n79046495
Griffes, Charles Tomlinson, 1884-1920	http://id.loc.gov/authorities/names/n80089682
Griffin, Ken	http://id.loc.gov/authorities/names/n93005497
Griffith, P. M.	http://id.loc.gov/authorities/names/n2005173524
Grimm, Carl W. (Carl William), 1863-1952	http://id.loc.gov/authorities/names/no2001073895
Griswold, Hattie Tyng, 1840-1909	http://id.loc.gov/authorities/names/nr2004006346
Grobe, Charles	http://id.loc.gov/authorities/names/n89627222
Grofé, Ferde, 1892-1972	http://id.loc.gov/authorities/names/n83065664
Grooms, Calvin	http://id.loc.gov/authorities/names/no2001031177
Gross, J. B. (Joseph B.), -1891	http://id.loc.gov/authorities/names/n90644664
Gross, Johann Benjamin, 1809-1848	http://id.loc.gov/authorities/names/no2009175415
Gross, Walter	http://id.loc.gov/authorities/names/no2008130581
Grossman, Bernie, 1885-1951	http://id.loc.gov/authorities/names/n93012354
Grosz, Wilhelm, 1894-1939	http://id.loc.gov/authorities/names/no89000492
Grouya, Ted, 1910-2000	http://id.loc.gov/authorities/names/n97876590
Grover	
Groves, Alexander	http://id.loc.gov/authorities/names/n2011019151
Gruber, Edmund L., 1879-1941	http://id.loc.gov/authorities/names/n99032303
Gruber, Franz Xaver, 1787-1863	http://id.loc.gov/authorities/names/n50032982
Gruenberg, Eugene, 1854-1928	http://id.loc.gov/authorities/names/no2002063575
Grün, C.	http://id.loc.gov/authorities/names/no2003005436
Grunn, Homer, 1880-1944	http://id.loc.gov/authorities/names/nr97012944
Grünwald, Ad. (Adolf)	http://id.loc.gov/authorities/names/no92000333
Grützmacher, Friedrich, 1832-1903	http://id.loc.gov/authorities/names/n81125406
Guaraldi, Vince	http://id.loc.gov/authorities/names/n82110146
Guenther, Felix, 1886-1951	http://id.loc.gov/authorities/names/no88003542
Guion, David W. (David Wendell), 1892-1981	http://id.loc.gov/authorities/names/n82113021
Guiterman, Arthur, 1871-1943	http://id.loc.gov/authorities/names/no99089243
Gumble, Albert, 1883-1946	http://id.loc.gov/authorities/names/no97010894
Gurney, Dorothy Frances	http://id.loc.gov/authorities/names/nr93001123
Gutmann, Bernhard, 1869-1936	http://id.loc.gov/authorities/names/n95031728
Guy, Louis, 1916-1991	http://id.loc.gov/authorities/names/n00115054
H. Carter	
H. H. K.	
H. I.	
H., C. (Carter, H.)	
H.D. Williams	
Hacker, Phil M.	http://id.loc.gov/authorities/names/no2010107483
Hackh, Otto, 1852-1917	http://id.loc.gov/authorities/names/no94018174
Hadley, Hap, 1895-1976	
Hadley, Henry, 1871-1937	http://id.loc.gov/authorities/names/n82020021
